ID,Consumer,Cluster
1,1,1
2,2,1
3,3,1
4,4,1
5,1,1
6,2,1
7,3,4
8,4,1
9,1,1
10,2,1
11,3,1
12,4,1
13,1,1
14,2,1
15,3,1
16,4,1
17,1,1
18,2,1
19,3,1
20,4,1
21,1,4
22,2,1
23,3,1
24,4,1
25,1,4
26,2,1
27,3,4
28,4,1
29,1,4
30,2,1
31,3,2
32,4,1
33,1,3
34,2,1
35,3,3
36,4,1
37,1,3
38,2,1
39,3,4
40,4,1
41,1,4
42,2,1
43,3,3
44,4,1
45,1,1
46,2,1
47,3,4
48,4,1
49,1,1
50,2,1
51,3,4
52,4,1
53,1,4
54,2,1
55,3,3
56,4,1
57,1,4
58,2,1
59,3,4
60,4,1
61,1,4
62,2,1
63,3,4
64,4,1
65,1,4
66,2,1
67,3,3
68,4,1
69,1,1
70,2,1
71,3,1
72,4,1
73,1,4
74,2,1
75,3,4
76,4,1
77,1,1
78,2,1
79,3,4
80,4,1
81,1,4
82,2,1
83,3,2
84,4,1
85,1,1
86,2,1
87,3,4
88,4,1
89,1,1
90,2,1
91,3,1
92,4,1
93,1,1
94,2,1
95,3,3
96,4,1
97,1,2
98,2,1
99,3,4
100,4,1
101,1,4
102,2,1
103,3,3
104,4,1
105,1,3
106,2,1
107,3,2
108,4,1
109,1,4
110,2,1
111,3,3
112,4,1
113,1,1
114,2,1
115,3,4
116,4,1
117,1,4
118,2,1
119,3,2
120,4,1
121,1,4
122,2,1
123,3,2
124,4,1
125,1,4
126,2,1
127,3,2
128,4,1
129,1,4
130,2,1
131,3,4
132,4,1
133,1,4
134,2,1
135,3,4
136,4,1
137,1,3
138,2,1
139,3,3
140,4,1
141,1,4
142,2,1
143,3,4
144,4,1
145,1,1
146,2,1
147,3,4
148,4,1
149,1,4
150,2,1
151,3,3
152,4,1
153,1,3
154,2,1
155,3,3
156,4,1
157,1,3
158,2,1
159,3,2
160,4,1
